Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Record_id,Week,Score_date
0,1,1,0,0.0,1,144.8,107,35.0,5.63,13.8,6491daa2-5bdd-49ce-91d3-dc6e89903336,15,2026-04-13
0,64,1,1,1.59,8,210.0,116,71.9,11.64,5.9,7c0584d9-deb3-476a-8468-71f6eab15573,26,2026-06-29
0,114,0,1,3.32,2,174.5,104,82.2,11.21,12.3,ae6b9978-4e37-4f9d-84f8-56942a56d7c5,14,2026-04-03
0,165,1,0,0.0,0,207.7,109,50.0,8.24,7.9,430e5053-7743-4763-b20f-566f70dec806,3,2026-01-15
0,115,1,0,0.0,2,99.7,107,30.0,7.26,14.1,71667d38-a8af-40d7-b2df-da0f2fd443d6,16,2026-04-17
0,109,1,0,0.36,2,193.6,58,49.6,7.44,13.1,d12978f0-d449-4b73-81be-9cda34a09dc5,11,2026-03-13
0,151,1,0,0.0,0,194.8,106,58.0,14.64,5.5,5cacccc9-7387-40c5-9790-f131f51528c1,3,2026-01-21
0,91,1,1,2.59,1,273.0,78,90.9,10.78,9.6,29bafe09-783b-48f5-a2fe-543a647d8cc4,15,2026-04-13
0,123,1,0,0.26,2,257.9,92,64.6,10.58,9.4,4cdadfa2-fde3-4e6c-9a79-85104e4951c3,18,2026-05-02
0,182,1,0,0.36,2,104.9,111,38.6,9.93,8.0,399ffa29-112d-45ce-8f24-82f114374f1f,11,2026-03-16
0,58,1,0,0.0,3,131.9,96,37.0,8.38,14.7,5a5d1ea9-8cce-4edd-8d59-cbe257bb6196,13,2026-03-29
0,95,1,0,0.44,3,156.6,88,52.4,12.38,12.3,326bce95-945b-456c-8dfe-e7b30dd83fb9,17,2026-04-27
0,100,1,1,3.27,1,218.7,104,83.7,7.75,12.1,01fb1d6b-a5e4-4105-846f-8428bf6ec6ad,15,2026-04-10
0,121,1,0,0.0,3,190.7,103,49.0,9.18,9.8,2412ca41-e2c2-4131-946d-4723f0132563,15,2026-04-14
0,181,1,0,0.0,1,143.3,91,41.0,9.78,6.0,f8179538-2450-4b4c-9e43-6abb50e9b345,22,2026-06-01
0,16,1,0,0.0,1,209.5,89,51.0,8.64,8.8,7dd3cb33-4113-4f70-8750-a519459e172f,19,2026-05-11
1,130,1,0,0.33,4,271.8,129,70.3,11.86,8.7,ce41aac7-b5e4-42a2-a86c-36ac31c6fad8,22,2026-05-30
0,130,1,0,0.32,0,252.0,101,61.2,8.51,5.7,2dcff8d7-76e9-4223-ae9a-d34890ab6d22,8,2026-02-22
0,60,1,1,3.46,2,191.8,75,90.6,13.39,12.8,8a615928-d977-4583-858f-9d99a7c1090e,1,2026-01-02
0,123,1,0,0.0,1,159.1,94,48.0,12.08,6.5,f310cb05-ab0c-48b9-9f33-f2c27f37b133,13,2026-03-29
1,178,0,0,0.0,2,124.5,134,34.0,7.06,11.4,f6fdd5d6-3e06-4418-bda4-f506bbd18aef,23,2026-06-07
1,81,1,0,0.0,0,324.7,48,76.0,11.82,13.1,2a82bff4-c022-45e6-bd6c-15dbece5f26a,6,2026-02-07
1,133,1,0,0.0,2,295.0,141,70.0,11.18,12.9,cad151e5-fe48-4a22-ad0f-ff9912e9f03f,19,2026-05-10
0,128,1,0,0.0,1,187.3,84,55.0,13.54,10.1,fe712123-6aee-4c84-89b3-41261fdd9ffb,3,2026-01-21
0,101,1,0,0.3,1,0.0,0,20.0,9.61,7.2,4e28a760-2ef3-49fc-abb9-4aade31b04f6,23,2026-06-10
0,45,1,0,0.0,1,78.2,127,35.0,12.67,18.0,b6942ab3-dcec-4c50-ba7b-46dc9d464205,9,2026-02-27
0,192,1,0,0.34,2,185.0,88,54.4,11.25,11.4,86d58dc3-e197-41f7-8fcd-189ea80905a4,4,2026-01-22
0,81,1,0,0.0,3,203.5,89,60.0,14.48,8.7,ad9cad30-06e2-44d3-a757-28e0ed402293,13,2026-03-30
0,33,0,0,0.0,0,164.0,99,41.0,7.66,6.4,f6d4b5ed-3529-4d2c-8025-9ca35110190e,7,2026-02-18
0,113,1,1,3.13,0,183.8,102,78.3,9.17,11.6,0d8a4e49-8865-427e-b687-784b868d1954,9,2026-02-28
0,107,1,0,0.0,0,241.9,102,52.0,6.35,11.7,ade576a8-74c4-4bda-ba40-ebfe54592ac8,25,2026-06-19
0,84,1,0,0.0,1,216.1,114,54.0,9.88,9.8,b4f83821-8f9e-4f7b-bfe0-cfde559cdd56,3,2026-01-15
0,61,1,1,2.94,3,270.7,53,93.4,10.04,10.9,03af784d-e56e-4a1e-9e5d-0cc867ec0dc7,25,2026-06-24
0,168,1,1,3.08,2,97.4,57,64.8,10.18,11.4,7c8d2031-d331-4c2a-b25d-0cea1d81316b,8,2026-02-20
0,90,1,0,0.0,1,203.4,146,54.0,11.34,7.3,587c95a7-642d-431e-b922-7aac277d07f7,16,2026-04-18
0,75,1,0,0.34,1,117.3,114,41.4,10.06,12.2,c01ea18d-e14f-40a5-9006-a85c7d0a69c2,8,2026-02-24
0,132,1,0,0.31,1,191.9,107,54.1,10.35,12.6,ef096245-b602-4e1f-8506-417baeb44189,10,2026-03-05
0,143,1,0,0.0,1,155.4,112,52.0,14.55,13.9,3c01e1c5-0112-4f42-8cec-04a697cf450e,19,2026-05-11
0,114,1,0,0.4,1,172.0,145,57.0,13.82,10.1,3203f4b7-ddce-4a8a-bd52-64279553fe09,8,2026-02-20
0,87,0,1,3.11,1,221.6,79,83.1,7.86,11.5,3669e135-028c-4215-a266-d050e39bea7c,20,2026-05-15
0,146,1,0,0.0,3,195.9,86,53.0,11.43,12.2,d61eb229-2f3a-4d2e-8e77-cf4e964ce09b,3,2026-01-21
0,106,1,1,2.19,1,83.6,131,53.9,10.2,8.1,ba766197-9ba2-4da9-8b63-84839c5beef2,11,2026-03-14
0,90,1,0,0.0,0,76.1,121,38.0,14.52,10.8,f06bc90f-a762-4b38-8ecb-e86168b09cff,24,2026-06-16
0,116,1,1,1.89,2,204.7,118,71.9,10.47,7.0,375270c9-5394-4e1b-a71e-b8602dcb643e,3,2026-01-18
0,152,1,0,0.23,1,161.4,84,44.3,8.18,11.8,788f01e1-fb0a-45f4-a38a-85377e99b917,19,2026-05-12
0,156,1,1,4.0,1,192.3,137,90.0,10.0,14.8,e4b26a76-94de-4231-80a4-b524230e3faa,13,2026-03-30
0,112,1,0,0.0,0,166.0,79,35.0,3.73,6.3,7dc1b779-5c6b-4ac1-bbd2-22a8c8230a35,9,2026-03-01
0,57,1,1,3.0,2,193.4,105,83.0,11.58,11.1,e39051f2-b824-413b-8a12-9667e1c39b12,2,2026-01-14
0,122,1,0,0.0,2,243.8,98,49.0,4.2,13.7,a42b6fa1-d168-492b-a353-64b4a4efb700,2,2026-01-09
0,135,1,0,0.42,1,201.8,81,58.2,11.25,10.3,4962d0d8-835b-4bd4-99b2-deb2378e1b59,13,2026-03-31
1,79,1,0,0.0,3,261.7,97,63.0,10.53,6.0,a3272a12-7483-4698-b34d-8810dbfe4a04,8,2026-02-22
0,85,1,0,0.25,0,127.9,107,47.5,13.56,12.5,9773966e-16e4-4190-b1a0-a2ed4f766fed,19,2026-05-10
0,107,1,0,0.0,2,167.3,100,43.0,8.2,6.7,486ce366-8fd9-4c5f-ae66-145129122b4b,12,2026-03-25
1,95,1,0,0.0,6,128.6,115,41.0,10.81,6.3,d96c80d7-1750-4cc4-ae20-9ab2a12f039a,14,2026-04-02
0,141,1,1,2.05,3,149.7,112,60.5,8.13,7.6,de9f1d25-c19e-4993-9a13-b32279e6f0b3,16,2026-04-21
