Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
0,1,1,0,0.0,1,144.8,107,35.0,5.63,13.8
0,64,1,1,1.59,8,210.0,116,71.9,11.64,5.9
0,114,0,1,3.32,2,174.5,104,82.2,11.21,12.3
0,165,1,0,0.0,0,207.7,109,50.0,8.24,7.9
0,115,1,0,0.0,2,99.7,107,30.0,7.26,14.1
0,109,1,0,0.36,2,193.6,58,49.6,7.44,13.1
0,151,1,0,0.0,0,194.8,106,58.0,14.64,5.5
0,91,1,1,2.59,1,273.0,78,90.9,10.78,9.6
0,123,1,0,0.26,2,257.9,92,64.6,10.58,9.4
0,182,1,0,0.36,2,104.9,111,38.6,9.93,8.0
0,58,1,0,0.0,3,131.9,96,37.0,8.38,14.7
0,95,1,0,0.44,3,156.6,88,52.4,12.38,12.3
0,100,1,1,3.27,1,218.7,104,83.7,7.75,12.1
0,121,1,0,0.0,3,190.7,103,49.0,9.18,9.8
0,181,1,0,0.0,1,143.3,91,41.0,9.78,6.0
0,16,1,0,0.0,1,209.5,89,51.0,8.64,8.8
1,130,1,0,0.33,4,271.8,129,70.3,11.86,8.7
0,130,1,0,0.32,0,252.0,101,61.2,8.51,5.7
0,60,1,1,3.46,2,191.8,75,90.6,13.39,12.8
0,123,1,0,0.0,1,159.1,94,48.0,12.08,6.5
1,178,0,0,0.0,2,124.5,134,34.0,7.06,11.4
1,81,1,0,0.0,0,324.7,48,76.0,11.82,13.1
1,133,1,0,0.0,2,295.0,141,70.0,11.18,12.9
0,128,1,0,0.0,1,187.3,84,55.0,13.54,10.1
0,101,1,0,0.3,1,0.0,0,20.0,9.61,7.2
0,45,1,0,0.0,1,78.2,127,35.0,12.67,18.0
0,192,1,0,0.34,2,185.0,88,54.4,11.25,11.4
0,81,1,0,0.0,3,203.5,89,60.0,14.48,8.7
0,33,0,0,0.0,0,164.0,99,41.0,7.66,6.4
0,113,1,1,3.13,0,183.8,102,78.3,9.17,11.6
0,107,1,0,0.0,0,241.9,102,52.0,6.35,11.7
0,84,1,0,0.0,1,216.1,114,54.0,9.88,9.8
0,61,1,1,2.94,3,270.7,53,93.4,10.04,10.9
0,168,1,1,3.08,2,97.4,57,64.8,10.18,11.4
0,90,1,0,0.0,1,203.4,146,54.0,11.34,7.3
0,75,1,0,0.34,1,117.3,114,41.4,10.06,12.2
0,132,1,0,0.31,1,191.9,107,54.1,10.35,12.6
0,143,1,0,0.0,1,155.4,112,52.0,14.55,13.9
0,114,1,0,0.4,1,172.0,145,57.0,13.82,10.1
0,87,0,1,3.11,1,221.6,79,83.1,7.86,11.5
0,146,1,0,0.0,3,195.9,86,53.0,11.43,12.2
0,106,1,1,2.19,1,83.6,131,53.9,10.2,8.1
0,90,1,0,0.0,0,76.1,121,38.0,14.52,10.8
0,116,1,1,1.89,2,204.7,118,71.9,10.47,7.0
0,152,1,0,0.23,1,161.4,84,44.3,8.18,11.8
0,156,1,1,4.0,1,192.3,137,90.0,10.0,14.8
0,112,1,0,0.0,0,166.0,79,35.0,3.73,6.3
0,57,1,1,3.0,2,193.4,105,83.0,11.58,11.1
0,122,1,0,0.0,2,243.8,98,49.0,4.2,13.7
0,135,1,0,0.42,1,201.8,81,58.2,11.25,10.3
1,79,1,0,0.0,3,261.7,97,63.0,10.53,6.0
0,85,1,0,0.25,0,127.9,107,47.5,13.56,12.5
0,107,1,0,0.0,2,167.3,100,43.0,8.2,6.7
1,95,1,0,0.0,6,128.6,115,41.0,10.81,6.3
0,141,1,1,2.05,3,149.7,112,60.5,8.13,7.6
0,110,1,0,0.0,1,148.5,115,49.0,13.82,12.4
0,148,1,0,0.39,1,178.3,98,58.9,14.13,11.4
0,21,1,1,2.57,6,135.9,90,72.7,13.55,9.5
0,72,1,1,3.97,3,220.0,80,95.7,10.87,14.7
0,68,1,0,0.0,3,148.8,70,47.0,12.33,12.1
0,60,1,0,0.0,0,207.8,109,46.0,6.18,5.7
