Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Record_id
0,96,1,0,0.0,5,260.4,115,57.0,7.3,11.5,698409c4-a1b1-4c31-abf2-b80793c691b7
0,93,1,0,0.0,3,179.3,93,46.0,8.93,11.5,b3dca1f7-ebd5-4a00-b940-e992b4acf1df
0,151,1,0,0.0,0,170.2,89,45.0,9.38,4.3,db814416-b1c8-43b9-8d6e-f45bd9983419
1,35,1,0,0.0,5,138.1,115,37.0,7.91,10.3,39cc3cfb-ca5e-4cf2-a5f2-55b0761ba8b9
1,94,1,0,0.18,1,234.4,103,65.8,13.97,2.0,a5886cfd-93c2-4b6e-8299-14875c214366
0,146,0,0,0.0,1,133.0,65,45.0,13.14,11.2,d9cafbb7-daf8-47c3-831f-fc03ef1f6279
0,146,1,0,0.0,1,206.3,151,48.0,7.43,6.1,25ff476b-90d6-4d8d-a380-6addb7f4c1f3
0,79,1,0,0.0,1,147.0,72,40.0,8.29,8.4,50f9a42f-c636-4155-bcf0-173f1dd4e4b2
1,131,1,0,0.0,1,131.6,95,38.0,8.97,15.5,79a9a8a3-4b68-4733-82a3-f768a3e23f87
0,32,1,1,3.51,0,232.8,97,91.1,9.18,13.0,810ecdb8-f3f3-434b-bb65-d89ac0410c06
0,137,1,0,0.0,2,206.4,122,46.0,6.4,8.8,b8b6ecd2-5269-43cf-b606-9a28c64acf75
0,19,1,0,0.14,2,186.1,98,55.4,12.72,14.6,c4846e5d-cd18-4baa-bcb8-a2621f7e40f0
0,148,0,0,0.0,2,148.2,138,39.0,7.98,8.6,02b35887-d405-4d47-8b3d-f955f6a59f5b
0,127,1,0,0.0,0,261.7,105,60.0,9.09,3.3,d344534b-9cd5-49f0-9a36-214eea3b63fe
0,192,1,0,0.0,4,221.6,101,62.0,14.26,12.7,bec03764-a046-42b1-824a-b8dcd2a06c35
0,142,1,1,1.59,2,220.5,94,73.9,11.98,5.9,52bda28f-0bad-48cb-bbab-11b4770f6b7a
0,76,1,0,0.38,1,90.5,142,37.8,10.59,9.3,2d0bfdbb-e6bb-471b-ad17-8bb68723632a
0,61,1,1,2.84,0,254.4,133,85.4,8.09,10.5,decd3d56-e1b7-4bae-9cc6-d2c12168dd77
0,118,1,0,0.0,2,224.6,94,58.0,11.3,12.5,8571a472-4dc8-4151-8ce0-df6efc0ca7e0
0,56,1,0,0.3,1,253.2,95,63.0,9.4,4.4,9c610260-326d-4b9c-bf6f-fedfa4460fcc
0,109,1,1,2.86,5,230.5,116,90.6,13.29,10.6,d854bfdc-dfd4-4e1c-a2c4-fef227c29830
0,37,1,0,0.0,3,271.7,112,60.0,7.76,6.6,acd02511-e347-441c-8f53-70c991169092
0,147,1,1,3.81,2,243.4,126,103.1,13.69,14.1,1bc7e12d-73d5-450b-85f1-20c466e608f6
1,42,1,0,0.0,1,303.9,106,72.0,11.61,5.8,9568acd1-bc66-4dac-beab-ded8ff35b006
0,104,1,0,0.0,3,264.0,108,57.0,6.61,10.6,c9f759ff-ac54-4de8-af74-5791ee925ba9
0,103,1,0,0.0,0,198.5,112,38.0,2.13,12.4,bcf56a9c-a3fa-4c58-92d2-3ec157df42fd
0,134,1,0,0.0,2,258.8,85,56.0,6.48,10.9,b772a425-4ea1-4aa7-b921-f28252513b01
0,72,1,1,2.21,2,138.1,113,68.1,13.01,8.2,43ae0495-7949-4e6b-8a2e-9e23c93de48c
0,142,1,1,2.92,1,154.0,75,70.2,8.29,10.8,7ef15357-c654-47e3-bb44-3211613624d4
1,111,1,0,0.0,4,172.8,58,45.0,9.16,7.9,0d6bde2a-bcef-48c6-ab1d-dc67bf790a81
0,131,1,1,2.57,3,214.2,115,76.7,8.09,9.5,6f3a7a6c-7645-4288-bc47-38c9115a90fd
1,118,0,1,3.0,4,156.5,122,75.0,10.46,11.1,f2601c2f-558c-43c1-8c20-d9d2e16d25ef
1,118,1,1,2.59,5,170.8,114,71.9,9.98,9.6,f24d611e-0b45-4c77-8c53-e607312572c9
1,133,1,0,0.0,2,277.3,138,67.0,11.42,12.8,a7822694-db64-4c56-ae3a-a076b1e1202a
0,132,1,1,3.7,0,201.9,93,85.0,7.82,13.7,51dab5af-3e7d-49bf-8cc1-73ca78022fb3
0,116,1,0,0.0,2,110.9,54,37.0,10.67,7.9,ddf947d9-2768-4ef3-afa2-d620e1688ebb
0,83,1,0,0.0,1,132.4,120,33.0,6.08,8.6,ddf61a4c-24ba-473c-aeed-dd612081fa9c
0,144,1,0,0.0,2,139.6,96,35.0,6.21,15.0,e866846d-1d7f-48f7-86c8-22a9de853daa
1,58,1,0,0.0,0,112.2,95,37.0,10.48,13.9,c2e25043-a4d6-4f7a-8554-e3c441c9bf20
0,120,1,1,2.86,0,244.3,140,97.6,16.12,10.6,48e468a0-d8ae-4e92-93d3-1c748af07630
0,158,1,0,0.0,1,209.9,112,55.0,11.07,8.2,f951eafb-9c55-4f6f-b2b2-611250f2ffbb
0,91,0,0,0.0,1,151.8,115,35.0,5.18,12.2,183587e9-6d45-4986-8b32-251c8df81376
0,113,1,1,2.57,4,149.0,104,71.7,11.79,9.5,4304464a-39b7-43f8-b537-3fb975477d7f
0,68,1,1,2.59,2,122.9,93,66.9,11.68,9.6,217dd6df-ef39-4c91-b58b-fab2b4fb3a9a
0,122,1,1,2.27,3,195.4,83,79.7,13.41,8.4,885d8f8c-0a21-41a6-96fe-e9fab2a410bb
0,136,0,0,0.0,3,256.8,90,64.0,11.51,9.1,ceb89e68-b3c7-4345-bd90-0cb4ad74e71c
0,69,1,0,0.27,3,143.6,88,39.7,7.09,10.8,64dc5160-c18f-4766-8a90-26105b8b0d09
0,75,1,0,0.0,2,122.8,89,39.0,10.57,10.7,47b7ef3c-b2ad-4529-add6-9b254cd47cf3
0,116,1,1,3.0,0,230.6,94,89.0,11.21,11.1,74a15d3a-dd7e-45d6-a6bb-a49e1f41aee8
1,95,0,0,0.0,4,228.9,134,61.0,12.79,10.1,9aef5523-6738-4f51-940e-b0848b78ffb7
0,121,1,1,3.08,1,68.7,95,60.8,10.46,11.4,b62abf1a-e5f5-40ee-adad-eb15288933c2
0,22,1,0,0.0,2,181.8,108,48.0,9.93,9.3,48ef31b7-7581-4413-a2a1-028e69b771e0
